Splits	Weights	GRASSLEY_C_Rep	LEAHY_P_Dem	MARKEY_E_Dem	ROBERTS_C_Rep	SCHUMER_C_Dem	WYDEN_R_Dem	McCONNELL_A_Rep	CARPER_T_Dem	DURBIN_R_Dem	CARDIN_B_Dem	INHOFE_J_Rep	BOOZMAN_J_Rep	CAPITO_S_Rep	VAN_HOLLEN_C_Dem	BLACKBURN_M_Rep	MURPHY_C_Dem	HIRONO_M_Dem	GILLIBRAND_K_Dem	CASSIDY_B_Rep	PETERS_G_Dem	HEINRICH_M_Dem	GARDNER_C_Rep	YOUNG_T_Rep	LANKFORD_J_Rep	SCOTT_T_Rep	SINEMA_K_Dem	COTTON_T_Rep	DUCKWORTH_T_Dem	DAINES_S_Rep	CRAMER_K_Rep	McSALLY_M_Rep	ROSEN_J_Dem	REED_J_Dem	SANDERS_B_Ind	CRAPO_M_Rep	MENENDEZ_R_Dem	PORTMAN_R_Rep	BROWN_S_Dem	WICKER_R_Rep	BURR_R_Rep	GRAHAM_L_Rep	MORAN_J_Rep	STABENOW_D_Dem	BLUNT_R_Rep	THUNE_J_Rep	UDALL_T_Dem	TOOMEY_P_Rep	BALDWIN_T_Dem	CANTWELL_M_Dem	MURKOWSKI_L_Rep	ALEXANDER_L_Rep	CORNYN_J_Rep	KLOBUCHAR_A_Dem	TESTER_J_Dem	CASEY_R_Dem	WHITEHOUSE_S_Dem	BARRASSO_J_Rep	RISCH_J_Rep	SHAHEEN_J_Dem	MERKLEY_J_Dem	WARNER_M_Dem	BENNET_M_Dem	MANCHIN_J_Dem	COONS_C_Dem	BLUMENTHAL_R_Dem	RUBIO_M_Rep	PAUL_R_Rep	HOEVEN_J_Rep	LEE_M_Rep	JOHNSON_R_Rep	SCHATZ_B_Dem	KING_A_Ind	WARREN_E_Dem	FISCHER_D_Rep	CRUZ_R_Rep	KAINE_T_Dem	BOOKER_C_Dem	SULLIVAN_D_Rep	PERDUE_D_Rep	ERNST_J_Rep	SASSE_B_Rep	TILLIS_T_Rep	ROUNDS_M_Rep	CORTEZ_MASTO_C_Dem	HARRIS_K_Dem	HASSAN_M_Dem	KENNEDY_J_Rep	JONES_G_Dem	SMITH_T_Dem	HYDE-SMITH_C_Rep	BRAUN_M_Rep	HAWLEY_J_Rep	ROMNEY_W_Rep	SCOTT_R_Rep	FEINSTEIN_D_Dem	MURRAY_P_Dem	COLLINS_S_Rep	ENZI_M_Rep	SHELBY_R_Rep
38	.01734	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	0	1
39	.017182	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	0	1
40	.015079	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	0	1
41	.0161	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1	1	0	1
42	.018054	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	0	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1	1	0	1
43	.015581	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	0	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	0	1	0	0	1	1	1	0	1
44	10.996531	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
45	.014697	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1	1	0	1
46	.015253	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1	1	0	1
47	15.578161	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1
48	8.098047	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
49	4.083408	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
50	1.630956	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
51	.771291	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	0	1
52	.01541	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	0	1
53	4.030579	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	0	1
54	10.170319	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
55	.815872	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	0	1	1	0	1	1	1	0	1
56	3.305476	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
